id,created_at,category,content,address,lon,lat,source,acceptance_no,district,is_true,goal,rectification,status,date,hour_bucket,is_located
[2025]杨浦—001号-1,2025-10-16,生态,信访人反映位于政悦路、殷行路附近的新江湾城生态走廊附近河道内有垂钓和皮划艇活动，影响生态走廊的鸟类与鱼类的生存环境，且信访人反映新江湾城生态走廊附近工程建设越来越多，沿政悦路、殷行路的人行道宽度仅保留三米左右，信访人建议应减少大量的人为活动，减少对该区域的生态环境影响。,政悦路、殷行路附近的新江湾城生态走廊附近河道内,121.50858,31.333777,https://www.shyp.gov.cn/shypq/sthjdc2025/20251016/492269.html,[2025]杨浦—001号,新江湾城街道,不属实,加强生态走廊沿线巡查和管理,1、压实河长林长责任。新江湾城街道通过“人防+技防”强化对生态走廊及周边河道的巡查，发现有破坏生态环境行为及时制止并上报相关职能部门；对其他不文明行为的主动发现、及时劝阻。通过推动林河长制宣传进校园、进社区，增强居民参与生态建设的热情、共享美丽河湖环境的理念。目前，辖区内10个监测断面水质优于Ⅲ类标准，新江湾城街道后续将协同有关部门持续关注辖区河道水质情况，保障水质环境。 2、区建管委将进一步强化生态走廊沿线市政道路巡视工作，采用智能巡查与人工巡路相结合的方式，对于道路设施进行全要素巡查。 3、区建管委将进一步严格加强工程建设项目涉路审批管理，做好涉路建设项目监管工作，减少施工期间对周边居民的影响。,已办结,2025-10-16,0,True
[2025]杨浦—002号-2,2025-10-16,大气,信访人反映控江街道双阳路588号光头羊肉汤，有烧烤油烟长期扰民情况，投诉过多次，问题未得到解决。,控江街道双阳路588号光头羊肉汤,121.529511,31.285729,https://www.shyp.gov.cn/shypq/sthjdc2025/20251016/492269.html,[2025]杨浦—002号,控江街道,不属实,加强对该店的执法监管，如发现违法行为，将依法处理。,1、控江街道综合行政执法队告知现场负责人要及时关注油烟净化设备运行情况，保障相关设备保持开启状态、做好清洁维护。 2、区生态环境局持续加强对该店的执法监管。,已办结,2025-10-16,0,True
[2025]杨浦—003号-3,2025-10-16,大气,信访人反映平凉街道杨树浦路658号中交滨江广场F座楼顶烟囱高度约27米，冬季集中供暖产生的烟有味道，影响杨树浦路633弄小区，多次投诉，该问题未解决。,平凉街道杨树浦路658号中交滨江广场F座楼顶烟囱高度约27米,121.523154,31.251671,https://www.shyp.gov.cn/shypq/sthjdc2025/20251016/492269.html,[2025]杨浦—003号,平凉路街道,部分 属实,区生态环境局将继续做好监督指导工作，并在该单位锅炉调试完成并投入使用后，组织开展该锅炉废气监督性监测，如发现锅炉废气超标将依法予以处理，确保该单位锅炉达标排放。,1、目前该单位锅炉已通过采用低氮直燃燃烧器等方式完成改造，现场检查时，锅炉未投入使用。 2、因锅炉主要用于冬季供热，目前尚不具备调试条件，待今年冬季来临，中交滨江（上海）建设管理有限公司将聘请第三方检测机构进行检测并完成验收。,阶段性办结,2025-10-16,0,True
[2025]杨浦—004号-4,2025-10-17,生态,信访人反映江浦路街道飞虹路600弄海上海小区内8号楼南，由上实物业补种的鹅掌楸死亡后未重新补种。信访人诉求为：上实物业自行出资在原址补种一颗相同树龄的鹅掌楸。承担江浦路街道绿化市容管理事务的机构，对小区加大绿化巡查管控，打造绿色宜居的小区居住环境。,江浦路街道飞虹路600弄海上海小区内8号楼南,121.509481,31.265839,https://www.shyp.gov.cn/shypq/sthjdc2025/20251017/492332.html,[2025]杨浦—004号,江浦路街道,部分属实,加强对绿化补种事宜的指导和协调,2025年10月15日上午，江浦路街道由管理办牵头，会同江浦路街道城建中心、海上海居委会、海上海宝地仲量联行物业公司召开会议，对于现场情况进行了实地走访调查，对于2025年3月5日补种的鹅掌楸是否已经死亡需进一步鉴定。根据《上海市居住区绿化调整技术规范》（沪绿容〔2023〕249号）6.4.2树木死亡鉴定应由2人（含）以上属地绿化专业技术人员书面确认。属地绿化专业技术人员包括绿化市容管理部门专技人员或绿化市容管理部门认可的其他专业人士邀请社区园艺师对该树木的死亡与否情况进行鉴定。 下一步江浦路街道将加强对绿化补种事宜的指导，委托专业人士对该补种的鹅掌楸进行死亡鉴定，若经鉴定该补种树木确已死亡，则将进一步根据业主大会流程征询推进树木补种事宜。,已办结,2025-10-17,0,True
[2025]杨浦—007号-5,2025-10-18,噪声,信访人反映控江路（打虎山路至江浦路）路段、控江路（黄兴路至军工路）路段、长阳路与眉州路交叉口3个区域内存在燃油四轮机动车、摩托车行驶过程中发动机声音过大引发炸街的现象，严重噪声扰民。曾在中央环保督察期间反映过该问题，短期有效果，长期有回潮。投诉人希望公安交管部门对上述区域进行集中整治查处，实现人力和摄像头全天候监督，并对全区范围内道路加强监管。,控江路（打虎山路至江浦路）路段、控江路（黄兴路至军工路）路段、长阳路与眉州路交叉口3个区域内存在燃油四轮机动车、摩托车行,121.530491,31.267602,https://www.shyp.gov.cn/shypq/sthjdc2025/20251018/492359.html,[2025]杨浦—007号,杨浦区,部分属实,持续关注反映问题所提到的路口摩托车噪音扰民情况。,通过系统查询，基本确认了车主信息，并进行了初步查证。后续将开展上门核查处置，如发现摩托车驾驶人有交通违法行为，将依法开展教育处罚。同时，杨浦区公安分局交管支队将持续关注生态环境督导重点，加强对重点路段的巡逻管理力度，严查严处摩托车噪音扰民违法行为。,已办结,2025-10-18,0,True
[2025]杨浦—008号-6,2025-10-18,噪声,信访人反映四平街道地铁8号线鞍山新村站1号口南侧的旭辉广场晚间6点至9点半有居民使用多台外放音响唱歌跳舞，存在噪音扰民现象。信访人多次向110及12345等渠道投诉，投诉后有阶段性改善但没有得到根治，辖区街道虽派特保巡逻，但整体管理效果较差。信访人诉求：解决噪声扰民问题，并希望提供鉴定外置扩音装置的音响器材的渠道、具体标准或相关法律法规。,四平街道地铁8号线鞍山新村站1号口南侧的旭辉广场晚间6点至9点半有居民使用多台外放音响唱歌跳舞,121.510313,31.270664,https://www.shyp.gov.cn/shypq/sthjdc2025/20251018/492359.html,[2025]杨浦—008号,四平街道,属实,深化协调管理，减少广场舞活动影响。,1、目前，公安民警到场接处警时已对现场参与广场舞的市民进行法律告知，并劝导其调低设备音量，避免对周边居民生活造成影响。2、10月16日下午，四平路街道办事处主要负责人召开旭辉广场舞、唱歌噪音扰民问题专题会议，研讨处置办法。10月16日晚，四平路街道办事处主要负责人带队，会同四平路派出所和旭辉广场物业开展联合整治，对广场舞及唱歌人员进行劝导、劝离。10月17日下午，四平路街道搭建沟通平台，梳理各方需求，协调解决广场舞、唱歌噪声扰民问题。下一步，四平路街道将综合考量法律规定和市民诉求，积极开展协调管理工作，进一步减少广场舞活动对周边居民的影响。,阶段性办结,2025-10-18,0,True
[2025]杨浦—009号-7,2025-10-18,噪声大气,信访人反映在大桥街道平凉路宁国路附近的杨浦区N090601单元I4-01地块前期施工中存在噪声、工地扬尘和柴油挖掘机尾气排放，影响了宁国路98弄小区内居民生活，现工地已停工。信访人希望后续建设施工中杜绝出现上述问题，保障周围居民正常生活。,大桥街道平凉路宁国路附近的杨浦区N090601单元I4-01地块前期施工中,121.536906,31.264566,https://www.shyp.gov.cn/shypq/sthjdc2025/20251018/492359.html,[2025]杨浦—009号,大桥街道,部分属实,持续加强巡查和监管力度。,1、待该项目取得施工许可后，区建设管理委将进一步加强对该项目文明施工的指导和管理，督促工地落实文明施工各项措施，把施工对周边居民的影响降到最低。2、大桥街道综合执法部门将持续加强对该处地块的巡查力度。3、区城管执法局将持续关注该地块在取得建筑工程施工许可证后的夜间建筑施工作业情况，同时做好执法和普法宣传工作。4、区生态环境局将会同区建设管理、城管、所属街道等部门（单位），加强对该工地开工后的扬尘、噪声管理，加强柴油挖掘机尾气的排放监管，减少施工过程产生的环境影响。,已办结,2025-10-18,0,True
[2025]杨浦—010号-8,2025-10-19,大气,信访人反映五角场街道伟德路10弄小区的中心花园从2025年夏季起至今，在雨后会出现明显腐败气味，影响居民正常生活。,五角场街道伟德路10弄小区的中心花园从2025年夏季起至今,121.50755,31.304333,https://www.shyp.gov.cn/shypq/sthjdc2025/20251019/492360.html,[2025]杨浦—010号,五角场街道,属实,加强小区综合管理，保障居民正常生活环境。,五角场街道召开专题会议研究整改措施，具体内容包括： 一是加强保洁，五角场街道督促物业对居民投诉的中心花园加强清理力度，由每日一次增加为每日上午、下午各一次。 二是加强消杀，五角场街道会同物业对小区增加消杀频次，由每月一次增加至半月一次，对中心花园及其他卫生死角，增加使用无害且能去除异味的空气清新剂。 三是加强巡查，五角场街道督促物业、居委会增加日常巡查频次，及时驱离小区内的流浪猫狗。 四是加强宣传，五角场街道会同居委会在小区显著位置张贴标识标牌，倡导文明遛宠，减少流浪猫狗投喂，共同维护社区环境。,已办结,2025-10-19,0,True
[2025]杨浦—011号-9,2025-10-19,垃圾,信访人反映平凉路1834号与平凉路1814号杨浦区牙防所之间道路上的垃圾厢房，异味扰民且存在干湿垃圾混投的现象。信访人希望解决上述垃圾厢房问题，建立常态化管理机制，防止回潮。,平凉路1834号与平凉路1814号杨浦区牙防所之间道路上的垃圾厢房,121.544535,31.269046,https://www.shyp.gov.cn/shypq/sthjdc2025/20251019/492360.html,[2025]杨浦—011号,大桥街道,属实,加强巡查和管理，确保周边环境整洁和垃圾分类实效。,1、大桥街道组织力量对该垃圾厢房周边开展环境综合整治，确保周边环境整洁。 2、完成该垃圾厢房垃圾分类投放设施的清洁和更新。 3、加强日常巡查和现场管理，确保点位垃圾分类实效巩固。 4、结合美丽家园改造，对该垃圾厢房开展改造提升。,已办结,2025-10-19,0,True
[2025]杨浦—013号-10,2025-10-20,水,信访人来电反映1、平凉路街道安浦路501号丹东泵站雨天放江时，水中漂浮生活垃圾和类似地沟油结块，并有恶臭味道。2、长白新村街道上海电缆厂近黄浦江的民星南泵站雨天放江时，水体黑臭。信访人希望相关部门能解决排放水质黑臭问题。,1、平凉路街道安浦路501号丹东泵站雨天放江时,121.540348,31.259217,https://www.shyp.gov.cn/shypq/sthjdc2025/20251020/492475.html,[2025]杨浦—013号,杨浦区,属实,会同市排水公司做好管道运维管理和市管泵站管理。,1、在丹东泵站区域加强道路雨水口清捞和管道清淤，减少入河污染物。同时，联系市排水公司持续优化泵站调度模式，按照《上海市合流制泵站雨天溢流管控要求（试行）》加强运行管理工作，减少入河污染物。 2、在民星南泵站区域加强道路雨水口清捞和管道清淤，持续开展雨污混接整治。同时，联系市排水公司持续优化泵站调度模式，减少入河污染物。,已办结,2025-10-20,0,True
[2025]杨浦—014号-11,2025-10-20,生态,信访人认为《群众信访举报转办及被督察区查处情况一览表》中的受理编号为[2025]杨浦—004号信访件，调查核实情况中“海上海上实物业于2025年3月5日又在原地址进行了鹅掌楸树木补种”这一回复与事实不符，表示有照片可证明2025年3月5日上实物业未在原址进行鹅掌楸补种。,地址缺失,,,https://www.shyp.gov.cn/shypq/sthjdc2025/20251020/492475.html,[2025]杨浦—014号,江浦路街道,不属实,加强对绿化补种事宜的指导，根据业主大会流程征询推进树木补种事宜。,下一步，江浦路街道将加强对绿化补种事宜的指导，根据业主大会流程征询推进树木补种事宜。,已办结,2025-10-20,0,False
[2025]杨浦—015号-12,2025-10-22,噪声,信访人反映10.18日至10.19日，定海路街道共青路130号复兴岛船台公园举办的音乐节的演唱活动及音响设备调试过程中，有噪声影响，另外复兴岛内起飞的直升机，飞行期间产生的噪声影响浦东新区博兴路616弄博二小区、栖山路1899弄蝶恋园社区、浦东大道2641弄寺前浜小区和莱阳路111弄中星嘉来苑小区居民生活。信访人诉求为：要求主办方尽早结束活动，采取措施降低音乐节举办期间的噪声影响，减少直升机飞行的噪声影响，并希望相关部门对易产生噪声的活动加强监管，减少对居民生活的影响。,10.18日至10.19日,121.525409,31.259588,https://www.shyp.gov.cn/shypq/sthjdc2025/20251022/492676.html,[2025]杨浦—015号,定海路街道,属实,加强监控，尽量减少环境影响。,活动期间，主办方已在现场安排专人对音量等场控进行实时监控，全力推进音量管控。活动已于10月19日结束。对于直升机飞行事宜将沟通协调相关企业。,已办结,2025-10-22,0,True
[2025]杨浦—019号-13,2025-10-22,大气,信访人反映延吉新村街道水丰路43号杨浦环境发展有限公司第一分公司产生的臭味，影响水丰路15弄小区居民的生活。水丰路近周家嘴路区域，下雨天后路上会明显闻到臭味。信访人希望解决臭味问题，并询问在居民区附近集中停放垃圾车是否合法合规。,延吉新村街道水丰路43号杨浦环境发展,121.542769,31.280663,https://www.shyp.gov.cn/shypq/sthjdc2025/20251022/492676.html,[2025]杨浦—019号,延吉新村街道,不属实,/,杨浦环境发展有限公司第一分公司将继续做好场地周边气味监测工作，如发现异常情况，及时处置，并加强环卫日常工作精细化管理，减少异味产生。,已办结,2025-10-22,0,True
[2025]杨浦—021号-14,2025-10-23,其他,信访人反映大桥街道眉州路185号至眉州路199号路段的眉州路人行道绿化带内，每日10:00至18：00常有共享单车和私人两轮电动车等非机动车乱停放占用绿化带现象。信访人诉求为：相关部门对此类问题加强监管，建立长效管理机制，防止问题回潮。,大桥街道眉州路185号至眉州路199号路段的眉州路人行道绿化带内,121.53622,31.259425,https://www.shyp.gov.cn/shypq/sthjdc2025/20251023/492757.html,[2025]杨浦—021号,大桥街道,不属实,/,大桥街道综合行政执法队将加强巡查，发现违法违规行为及时处理。,已办结,2025-10-23,0,True
[2025]杨浦—022号-15,2025-10-23,其他,信访人反映殷行街道市光路跨铁路人行桥近军工路处，每日9:30至22:00常有1辆面包车占道设摊售卖活禽，地面羽毛影响周围环境。信访人诉求为：相关部门对此类问题加强监管，建立长效管理机制，防止问题回潮。,殷行街道市光路跨铁路人行桥近军工路处,121.524796,31.321575,https://www.shyp.gov.cn/shypq/sthjdc2025/20251023/492757.html,[2025]杨浦—022号,殷行街道,部分属实,加强执法巡查，规范经营行为。,1、针对当事人擅自占道设摊经营的违法行为，殷行街道综合行政执法队依据相关法律法规给予其行政处罚。 2、殷行街道将加强对该处点位的执法巡查，同时宣传引流该当事人通过合法途径从事售卖经营活动。,已办结,2025-10-23,0,True
[2025]杨浦—023号-16,2025-10-23,其他,信访人反映大桥街道锦州湾路近宁国路，7至9月每日11：00至20：00路边常有卡车（如：车牌号为沪DMB212等）占道设摊售卖西瓜。信访人诉求为：相关部门对此类问题加强监管，建立长效管理机制，防止问题回潮。,大桥街道锦州湾路近宁国路,121.536906,31.264566,https://www.shyp.gov.cn/shypq/sthjdc2025/20251023/492757.html,[2025]杨浦—023号,大桥街道,属实,加强日常巡查，依法依规处理占道设摊经营行为。,1、大桥街道执法人员责令其立即整改，并依法给予其行政处罚。 2、大桥街道将继续加强对该区域的日常巡查，发现违法违规行为及时处理。,已办结,2025-10-23,0,True
[2025]杨浦—024号-17,2025-10-23,其他,信访人反映殷行街道中原路62-1号临至中原路66号临的路段，每日上午和傍晚有市民遛狗不牵绳和不清理狗屎的现象。信访人诉求为：相关部门对此类问题加强监管，建立长效管理机制，防止问题回潮。,殷行街道中原路62-1号临至中原路66号临的路段,121.532203,31.312943,https://www.shyp.gov.cn/shypq/sthjdc2025/20251023/492757.html,[2025]杨浦—024号,殷行街道,不属实,/,"殷行街道将加大该路段的执法巡查力度，宣传引导宠物饲养人文明养宠,遛狗牵绳、及时清理狗屎。",已办结,2025-10-23,0,True
[2025]杨浦—025号-18,2025-10-23,噪声,信访人反映大桥街道眉州路374号的珍味小梅园，每日11:00至20:00店铺门口处放置喇叭，循环播放促销内容，严重噪声扰民。信访人诉求为：相关部门对此类问题加强监管，建立长效管理机制，防止问题回潮。,大桥街道眉州路374号的珍味小梅园,121.535244,31.261575,https://www.shyp.gov.cn/shypq/sthjdc2025/20251023/492757.html,[2025]杨浦—025号,大桥街道,不属实,/,1、大桥街道执法人员现场向该店铺负责人进行普法宣传。 2、大桥街道将持续加强对眉州路及其延伸区域路面店铺的巡查与监管，防止喇叭噪声扰民情况发生。,已办结,2025-10-23,0,True
[2025]杨浦—026号-19,2025-10-23,噪声,信访人反映大桥街道眉州路376号的鲜奶联营店，每日11:00至20:00店铺门口处放置喇叭，循环播放促销内容，严重噪声扰民。信访人诉求为：相关部门对此类问题加强监管，建立长效管理机制，防止问题回潮。,大桥街道眉州路376号的鲜奶联营店,121.53518,31.261639,https://www.shyp.gov.cn/shypq/sthjdc2025/20251023/492757.html,[2025]杨浦—026号,大桥街道,不属实,/,1、大桥街道执法人员现场向该店铺负责人进行普法宣传。 2、大桥街道将持续加强对眉州路及其延伸区域路面店铺的巡查与监管，防止喇叭噪声扰民情况发生。,已办结,2025-10-23,0,True
[2025]杨浦—027号-20,2025-10-23,噪声,信访人反映大桥街道平凉路1185号的鑫贺轩，每日11:00到20:00店铺门口处放置喇叭，循环播放促销内容，严重噪声扰民。信访人诉求为：相关部门对此类问题加强监管，建立长效管理机制，防止问题回潮。,大桥街道平凉路1185号的鑫贺轩,121.534091,31.261895,https://www.shyp.gov.cn/shypq/sthjdc2025/20251023/492757.html,[2025]杨浦—027号,大桥街道,不属实,/,1、大桥街道执法人员现场向该店铺负责人进行普法宣传。 2、大桥街道将持续加强对平凉路1185号及其周边区域路面店铺的巡查与监管，防止喇叭噪声扰民情况发生。,已办结,2025-10-23,0,True
[2025]杨浦—028号-21,2025-10-23,噪声,信访人反映长海路街道中原路85号无店招门面店铺，每日11:00至20:00店铺门口处放置喇叭播放宣传内容，严重噪声扰民。信访人诉求为：相关部门对此类问题加强监管，建立长效管理机制，防止问题回潮。,长海路街道中原路85号无店招门面店铺,121.531772,31.312789,https://www.shyp.gov.cn/shypq/sthjdc2025/20251023/492757.html,[2025]杨浦—028号,长海路街道,不属实,/,1、长海路街道执法人员对店家进行普法宣传。 2、加强日常巡查，防止喇叭噪声扰民。,已办结,2025-10-23,0,True
[2025]杨浦—029号-22,2025-10-23,噪声,信访人反映殷行街道中原路70-1号的罗丽丝服装店，每日11:00至20:00店铺门口处放置喇叭，循环播放促销内容，严重噪声扰民。信访人诉求：相关部门对此类问题加强监管，建立长效管理机制，防止问题回潮。,殷行街道中原路70-1号的罗丽丝服装店,121.532191,31.313296,https://www.shyp.gov.cn/shypq/sthjdc2025/20251023/492757.html,[2025]杨浦—029号,殷行街道,属实,加强对经营性喇叭噪声的监管。,殷行街道执法人员现场要求罗丽丝服装店关停高音喇叭。同时，向当事人进行普法宣传，告知其经营行为应避免影响周边居民生活。,已办结,2025-10-23,0,True
[2025]杨浦—030号-23,2025-10-23,噪声,信访人反映长海路街道中原路87号的胖美眉服装店，每日11:00至20:00店铺门口处放置喇叭，循环播放促销内容，严重噪声扰民。信访人诉求为：相关部门对此类问题加强监管，建立长效管理机制，防止问题回潮。,长海路街道中原路87号的胖美眉服装店,121.531784,31.312987,https://www.shyp.gov.cn/shypq/sthjdc2025/20251023/492757.html,[2025]杨浦—030号,长海路街道,不属实,/,1、长海路街道执法人员对店家进行普法宣传。 2、加强日常巡查，防止喇叭噪声扰民。,已办结,2025-10-23,0,True
[2025]杨浦—031号-24,2025-10-24,噪声,信访人代表军工路400弄时运苑业委会反映，该小区西侧的高架路上，车辆行驶过程中产生的噪声影响小区居民生活。该业委会聘请南京宁韵环境检测有限公司检测后，出具的CMA报告中点位的昼间等效声级、夜间等效声级（Leq）均超过《声环境质量标准》（GB3096-2008）中的环境噪声限值。信访人诉求：解决高架路噪声扰民问题。,地址缺失,,,https://www.shyp.gov.cn/shypq/sthjdc2025/20251024/492846.html,[2025]杨浦—031号,定海街道,属实,区建管委将积极与相关部门沟通。,针对反映的情况，区建管委已将有关诉求及相关线索向中环线高架运维主管部门市道运中心反馈，并及时与主管部门沟通跟进。,已办结,2025-10-24,0,False
[2025]杨浦—034号-25,2025-10-26,大气,信访人反映在长海路街道国和路445弄1号楼和4号楼之间，国和路教堂斜对面，有小四川、小山东等三家餐饮店，中午和晚上用餐时间，油烟扰民。信访人诉求：解决油烟扰民问题。,长海路街道国和路445弄1号楼和4号楼之间,121.519829,31.308936,https://www.shyp.gov.cn/shypq/sthjdc2025/20251026/492847.html,[2025]杨浦—034号,长海路街道,属实,加强对3家餐饮店油烟净化设施、异味处理设施的监管，确保设备正常运行。,1、要求3家餐饮店要及时关注油烟净化设备运行情况，保障相关设备保持开启状态，确保设备正常运行。 2、要求3家餐饮店加强油烟净化设施清洗保养维护，规范油烟净化设施台账记录。 3、针对“山东菜馆”无异味处理设施的问题，长海街道综合行政执法队将约谈该店铺负责人作后续处理。,阶段性办结,2025-10-26,0,True
